time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
7,nibrs,logistic_regression,1,f1,0.4444444444444445,,2024-02,temporal
7,nibrs,logistic_regression,1,f1,0.4,,2024-03,temporal
7,nibrs,logistic_regression,1,f1,0.4409448818897638,,2024-04,temporal
7,nibrs,logistic_regression,1,f1,0.5714285714285715,,2024-05,temporal
7,nibrs,logistic_regression,1,f1,0.5192307692307693,,2024-06,temporal
7,nibrs,logistic_regression,1,f1,0.5116279069767442,,2024-07,temporal
7,nibrs,logistic_regression,1,f1,0.4752475247524752,,2024-08,temporal
7,nibrs,logistic_regression,1,f1,0.5038167938931297,,2024-09,temporal
7,nibrs,logistic_regression,1,f1,0.48484848484848486,,2024-10,temporal
7,nibrs,logistic_regression,1,f1,0.5263157894736842,,2024-11,temporal
7,nibrs,logistic_regression,1,f1,0.5526315789473685,,2024-12,temporal
7,nibrs,lstm,1,f1,0.0,,2024-01,temporal
7,nibrs,lstm,1,f1,0.2890173410404624,,2024-02,temporal
7,nibrs,lstm,1,f1,0.2484472049689441,,2024-03,temporal
7,nibrs,lstm,1,f1,0.1640625,,2024-04,temporal
7,nibrs,lstm,1,f1,0.15151515151515152,,2024-05,temporal
7,nibrs,lstm,1,f1,0.19736842105263155,,2024-06,temporal
7,nibrs,lstm,1,f1,0.26666666666666666,,2024-07,temporal
7,nibrs,lstm,1,f1,0.346268656716418,,2024-08,temporal
7,nibrs,lstm,1,f1,0.4092071611253197,,2024-09,temporal
7,nibrs,lstm,1,f1,0.47368421052631576,,2024-10,temporal
7,nibrs,lstm,1,f1,0.5213675213675213,,2024-11,temporal
7,nibrs,lstm,1,f1,0.44554455445544555,,2024-12,temporal
7,nibrs,random_forest,1,f1,0.9473684210526315,,2024-01,temporal
7,nibrs,random_forest,1,f1,0.9411764705882352,,2024-02,temporal
7,nibrs,random_forest,1,f1,0.961038961038961,,2024-03,temporal
7,nibrs,random_forest,1,f1,0.9435897435897437,,2024-04,temporal
7,nibrs,random_forest,1,f1,0.9801324503311258,,2024-05,temporal
7,nibrs,random_forest,1,f1,0.9542483660130718,,2024-06,temporal
7,nibrs,random_forest,1,f1,0.96875,,2024-07,temporal
7,nibrs,random_forest,1,f1,0.9419354838709677,,2024-08,temporal
7,nibrs,random_forest,1,f1,0.9633507853403142,,2024-09,temporal
7,nibrs,random_forest,1,f1,0.9387755102040817,,2024-10,temporal
7,nibrs,random_forest,1,f1,0.9635036496350364,,2024-11,temporal
7,nibrs,random_forest,1,f1,0.8813559322033898,,2024-12,temporal
7,chicago_2025,baseline_persistence,2,f1,0.0,,2024-12,temporal
7,chicago_2025,baseline_persistence,2,f1,0.3529411764705882,,2025-01,temporal
7,chicago_2025,baseline_persistence,2,f1,0.5,,2025-02,temporal
7,chicago_2025,baseline_persistence,2,f1,0.5,,2025-03,temporal
7,chicago_2025,baseline_persistence,2,f1,0.6818181818181819,,2025-04,temporal
7,chicago_2025,baseline_persistence,2,f1,0.6923076923076923,,2025-05,temporal
7,chicago_2025,baseline_persistence,2,f1,0.8433734939759037,,2025-06,temporal
7,chicago_2025,baseline_persistence,2,f1,0.7941176470588236,,2025-07,temporal
7,chicago_2025,baseline_persistence,2,f1,0.6274509803921569,,2025-08,temporal
7,chicago_2025,baseline_persistence,2,f1,0.75,,2025-09,temporal
7,chicago_2025,baseline_persistence,2,f1,0.7777777777777777,,2025-10,temporal
7,chicago_2025,baseline_persistence,2,f1,0.47058823529411764,,2025-11,temporal
7,chicago_2025,baseline_persistence,2,f1,0.25,,2025-12,temporal
7,chicago_2025,logistic_regression,2,f1,0.0,,2024-12,temporal
7,chicago_2025,logistic_regression,2,f1,0.6666666666666666,,2025-01,temporal
7,chicago_2025,logistic_regression,2,f1,0.7692307692307693,,2025-02,temporal
7,chicago_2025,logistic_regression,2,f1,0.5555555555555556,,2025-03,temporal
7,chicago_2025,logistic_regression,2,f1,0.7547169811320754,,2025-04,temporal
7,chicago_2025,logistic_regression,2,f1,0.7878787878787878,,2025-05,temporal
7,chicago_2025,logistic_regression,2,f1,0.9130434782608696,,2025-06,temporal
7,chicago_2025,logistic_regression,2,f1,0.8648648648648648,,2025-07,temporal
7,chicago_2025,logistic_regression,2,f1,0.7575757575757575,,2025-08,temporal
7,chicago_2025,logistic_regression,2,f1,0.7948717948717949,,2025-09,temporal
7,chicago_2025,logistic_regression,2,f1,0.7272727272727273,,2025-10,temporal
7,chicago_2025,logistic_regression,2,f1,0.3846153846153846,,2025-11,temporal
7,chicago_2025,logistic_regression,2,f1,0.4444444444444445,,2025-12,temporal
7,chicago_2025,lstm,2,f1,0.0,,2024-12,temporal
7,chicago_2025,lstm,2,f1,0.6428571428571429,,2025-01,temporal
7,chicago_2025,lstm,2,f1,0.7142857142857143,,2025-02,temporal
7,chicago_2025,lstm,2,f1,0.43478260869565216,,2025-03,temporal
7,chicago_2025,lstm,2,f1,0.6,,2025-04,temporal
7,chicago_2025,lstm,2,f1,0.8064516129032259,,2025-05,temporal
7,chicago_2025,lstm,2,f1,0.923076923076923,,2025-06,temporal
7,chicago_2025,lstm,2,f1,0.8767123287671234,,2025-07,temporal
7,chicago_2025,lstm,2,f1,0.7058823529411765,,2025-08,temporal
